City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
155,Castro,BR,2022-10-14 15:01:47,-24.7911,-50.0119,58.69,97,100,5.73
156,Pavlogradka,RU,2022-10-14 15:06:27,54.2024,73.5592,49.08,41,83,11.83
157,Chicama,PE,2022-10-14 15:06:28,-7.8447,-79.1469,59.54,61,8,7.43
158,Paramonga,PE,2022-10-14 15:06:28,-10.6667,-77.8333,64.56,72,2,10.45
159,Awbari,LY,2022-10-14 15:06:29,26.5921,12.7805,90.93,15,27,6.04
160,Mayfield,US,2022-10-14 15:06:29,36.7417,-88.6367,62.92,44,0,5.75
161,Urucui,BR,2022-10-14 15:06:30,-7.2294,-44.5561,100.47,23,83,10.0
162,Sainte-Suzanne,RE,2022-10-14 15:06:30,-20.9061,55.6089,73.62,67,39,18.41
163,San Carlos De Bariloche,AR,2022-10-14 15:06:30,-41.1456,-71.3082,54.25,57,50,2.51
164,Catumbela,AO,2022-10-14 15:06:31,-12.4314,13.5472,78.12,70,21,6.71
165,San Ramon,US,2022-10-14 15:04:52,37.7799,-121.978,55.62,94,100,1.99
166,Muscle Shoals,US,2022-10-14 15:06:32,34.7448,-87.6675,65.25,57,0,4.61
167,Teguise,ES,2022-10-14 15:06:32,29.0605,-13.564,75.42,69,40,20.71
168,Sinop,TR,2022-10-14 15:06:33,41.7711,34.8709,52.16,74,100,4.03
169,Lubartow,PL,2022-10-14 15:06:33,51.4603,22.6095,57.88,60,98,6.64
170,Bubaque,GW,2022-10-14 15:06:34,11.2833,-15.8333,82.63,73,82,8.86
171,Hobyo,SO,2022-10-14 15:06:35,5.3505,48.5268,78.57,81,8,19.17
172,Nouadhibou,MR,2022-10-14 15:06:35,20.931,-17.0347,70.81,85,0,20.98
173,Bugulma,RU,2022-10-14 15:02:28,54.55,52.8,42.6,88,100,9.78
174,Kalangala,UG,2022-10-14 15:06:35,-0.3089,32.225,74.71,63,100,7.49
175,Kudahuvadhoo,MV,2022-10-14 15:06:36,2.6708,72.8944,81.18,76,100,23.15
176,Longyearbyen,SJ,2022-10-14 15:02:49,78.2186,15.6401,24.64,68,75,11.5
177,Mtama,TZ,2022-10-14 15:06:36,-10.3,39.3667,78.33,57,3,11.18
178,Marsh Harbour,BS,2022-10-14 15:05:44,26.5412,-77.0636,78.78,75,100,8.81
179,Pemba,MZ,2022-10-14 15:06:37,-12.974,40.5178,77.52,66,0,8.57
180,Nador,MA,2022-10-14 15:06:37,35.174,-2.9287,73.65,78,20,9.22
181,Abha,SA,2022-10-14 15:06:37,18.2164,42.5053,64.65,68,40,6.91
182,Krasnoselkup,RU,2022-10-14 15:06:38,65.7,82.4667,34.39,88,92,15.93
183,Gubkinskiy,RU,2022-10-14 15:06:38,64.434,76.5026,36.77,80,99,15.9
184,Rawson,AR,2022-10-14 15:07:39,-43.3002,-65.1023,60.96,34,0,8.14
185,Beloha,MG,2022-10-14 15:07:39,-25.1667,45.05,79.11,48,0,12.5
186,Nilagiri,IN,2022-10-14 15:07:39,21.4582,86.7722,78.21,85,21,1.14
187,Brae,GB,2022-10-14 15:03:15,60.3964,-1.353,49.41,70,100,21.05
188,Havre-Saint-Pierre,CA,2022-10-14 15:07:40,50.2334,-63.5986,51.89,83,83,13.73
189,Bambui,BR,2022-10-14 15:07:15,-20.0064,-45.9769,88.3,27,29,6.82
190,Abu Dhabi,AE,2022-10-14 15:05:00,24.4667,54.3667,87.91,68,0,13.02
191,Kuurne,BE,2022-10-14 15:07:41,50.8599,3.2708,64.04,73,100,5.21
192,Belmonte,BR,2022-10-14 15:07:41,-15.8631,-38.8828,80.44,65,81,6.8
193,Trelleborg,SE,2022-10-14 15:07:42,55.3751,13.1569,57.97,86,59,8.39
194,Miquelon,PM,2022-10-14 15:07:42,47.0975,-56.3814,59.0,78,50,6.87
195,Monte Azul,BR,2022-10-14 15:07:42,-15.155,-42.8747,91.65,21,4,7.87
196,Storforshei,NO,2022-10-14 15:07:43,66.4043,14.5233,46.18,61,40,10.36
