,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Garissa,KE,74.84,broken clouds,-0.4536,39.6401,Sharif Plaza Hotel
463,Cap Malheureux,MU,67.46,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
467,Montepuez,MZ,66.43,clear sky,-13.1256,38.9997,PembaAparthotel
469,Chinhoyi,ZW,68.94,broken clouds,-17.3667,30.2,Msasa Guest House Chinhoyi (Wendy Shaw)
471,Kalabo,ZM,72.91,broken clouds,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
477,Westport,US,64.44,clear sky,41.1415,-73.3579,The Westport Inn
480,Afonso Claudio,BR,69.24,broken clouds,-20.0742,-41.1239,Pousada Afonso Cláudio
481,Alassio,IT,69.48,broken clouds,44.0039,8.1671,Hotel Toscana
485,San Gavino Monreale,IT,67.46,overcast clouds,39.5514,8.7917,Hotel Crocus
490,Hyeres,FR,67.68,clear sky,43.1167,6.1167,ibis budget Hyères Centre-Ville
497,Lyantonde,UG,60.64,broken clouds,-0.4031,31.1572,Novella Hotel & Spa
501,Ancud,CL,70.23,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
502,Siva,EG,72.3,broken clouds,29.2041,25.5195,Qasr Alzaytuna Inn
504,Manakara,MG,64.38,clear sky,-22.1333,48.0167,La Residence Manakara
511,Ambilobe,MG,69.15,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
513,Farkhor,TJ,64.06,overcast clouds,37.4922,69.4036,Khonai Abdulkhayrov
514,Andrelandia,BR,67.64,overcast clouds,-21.7397,-44.3092,Hotel Real
516,Lancaster,US,60.3,overcast clouds,40.2504,-76.2499,Refreshing Mountain Retreat and Adventure Center
526,Tasgaon,IN,72.9,overcast clouds,17.0333,74.6,Hotel Shree Siddhivinayak
528,Shujaabad,PK,73.45,clear sky,29.8797,71.2931,Amir jewellery collection
530,Vitry-Le-Francois,FR,63.01,light rain,48.7333,4.5833,Hôtel Tambourin
533,Uravakonda,IN,74.03,overcast clouds,14.95,77.2667,Divya Lodge
538,Camamu,BR,71.35,clear sky,-13.9447,-39.1039,Hotel Rio Acarai
542,Mocuba,MZ,70.5,clear sky,-16.8392,36.9856,Phama Lodge
544,Calama,CL,68.49,clear sky,-22.4667,-68.9333,Park Hotel Calama
554,Hima,UG,63.84,overcast clouds,0.2958,30.1804,Bike bar and Lodge
559,Rio Gallegos,AR,68.05,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
560,Antsohihy,MG,70.84,clear sky,-14.8796,47.9875,Hotel de Ville
561,Tuljapur,IN,72.91,overcast clouds,18.0,76.0833,Hotel Son of Sun
564,Sao Gabriel Da Cachoeira,BR,74.37,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
565,Camana,PE,63.07,broken clouds,-16.6228,-72.7111,Hostal Morales
566,Joao Alfredo,BR,69.24,overcast clouds,-7.8558,-35.5883,Cristal Hotel
568,Huarmey,PE,63.95,few clouds,-10.0681,-78.1522,Hotel Miramar
569,Santo Antonio Do Sudoeste,BR,67.32,moderate rain,-26.0736,-53.7253,Hotel Frontera
570,Jalu,LY,66.6,clear sky,29.0331,21.5482,صاحبة الفخامة
