City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Sao Domingos,BR,-13.3983,-46.3183,87.35,21,63,1.81,broken clouds
177,Katete,UG,-0.7818,29.7544,59.94,96,85,2.98,overcast clouds
178,Ullal,IN,12.8,74.85,77.95,88,75,3.44,fog
179,Raudeberg,NO,61.9875,5.1352,46.96,58,100,12.21,overcast clouds
180,San Lawrenz,MT,36.0553,14.204,69.21,77,15,10.22,few clouds
181,Kudahuvadhoo,MV,2.6708,72.8944,80.56,72,100,12.01,overcast clouds
182,Mecca,SA,21.4267,39.8261,82.83,51,1,5.06,clear sky
183,Hobyo,SO,5.3505,48.5268,78.1,83,67,14.14,broken clouds
184,Victoria,HK,22.2855,114.1577,73.45,83,100,23.96,light rain
185,Olafsvik,IS,64.8945,-23.7142,42.93,72,65,9.66,broken clouds
186,Iquique,CL,-20.2208,-70.1431,60.84,76,45,5.21,scattered clouds
187,Pyshchug,RU,58.8873,45.7134,43.25,91,99,10.42,overcast clouds
188,Harper,LR,4.375,-7.7169,76.71,87,85,5.48,overcast clouds
189,Kargasok,RU,59.0556,80.8572,36.43,70,100,2.1,overcast clouds
190,Maturin,VE,9.75,-63.1767,87.64,70,64,10.36,broken clouds
191,Libreville,GA,0.3925,9.4537,78.22,85,99,6.98,moderate rain
192,Ambo,PE,-10.1308,-76.2047,69.53,65,89,8.79,overcast clouds
193,Lisakovsk,KZ,52.5369,62.4936,44.73,62,100,6.93,overcast clouds
194,Nandikotkur,IN,15.8667,78.2667,74.34,88,92,5.08,overcast clouds
195,Phalodi,IN,27.1333,72.3667,76.82,26,0,10.27,clear sky
196,Wajir,KE,1.7471,40.0573,77.54,68,69,17.58,broken clouds
197,Mtwara,TZ,-10.2667,40.1833,72.14,86,4,6.73,clear sky
198,Hendersonville,US,36.3048,-86.62,58.41,34,15,3.0,few clouds
199,Lokosovo,RU,61.1333,74.8167,40.14,90,99,6.58,overcast clouds
200,Paita,PE,-5.0892,-81.1144,65.25,78,22,19.15,few clouds
201,Lagoa,PT,39.05,-27.9833,62.29,59,99,32.53,light rain
202,Ngaoundere,CM,7.3167,13.5833,64.92,86,46,2.57,scattered clouds
203,Uricani,RO,45.3373,23.1524,47.32,76,0,0.74,clear sky
204,Margate,GB,51.3813,1.3862,55.69,87,88,1.01,overcast clouds
205,Caravelas,BR,-17.7125,-39.2481,74.75,79,16,7.72,few clouds
206,San Lorenzo,PY,-25.3333,-57.5333,70.74,73,100,13.0,light intensity drizzle
207,Ibotirama,BR,-12.1853,-43.2206,87.78,23,58,2.93,broken clouds
208,Manono,CD,-7.3,27.4167,70.05,89,92,0.47,overcast clouds
209,Tashtyp,RU,52.7939,89.8983,39.58,89,64,7.92,broken clouds
210,Derbent,RU,42.0678,48.2899,58.86,87,100,14.47,moderate rain
211,Linhares,BR,-19.3911,-40.0722,73.04,82,53,8.41,broken clouds
212,San Julian,MX,21.0167,-102.1667,77.4,31,100,3.42,overcast clouds
213,Mosalsk,RU,54.4881,34.9817,42.57,97,83,8.3,broken clouds
214,San Cristobal,VE,7.7669,-72.225,77.18,89,100,0.2,overcast clouds
215,Paamiut,GL,61.994,-49.6678,38.61,82,100,10.58,overcast clouds
216,Carballo,ES,43.213,-8.691,64.76,93,2,3.71,clear sky
217,Cayenne,GF,4.9333,-52.3333,82.44,74,0,4.61,clear sky
218,Kumluca,TR,36.3703,30.2869,74.64,52,99,8.66,overcast clouds
219,Nicolas Bravo,MX,18.45,-88.9167,82.72,79,100,3.58,light rain
220,Dhidhdhoo,MV,6.8833,73.1,78.08,89,100,24.7,overcast clouds
221,Meulaboh,ID,4.1363,96.1285,75.24,87,84,5.3,broken clouds
222,Prieska,ZA,-29.6641,22.7474,71.6,54,100,6.22,overcast clouds
